wals_code,latitude,longitude,x1a,x2a,x3a,x4a,x5a,x6a,x7a,x8a,x9a,x10a,x11a,x12a,x13a,x14a,x15a,x16a,x17a,x18a,x19a,x20a,x21a,x22a,x23a,x24a,x25a,x26a,x27a,x28a,x29a,x30a,x31a,x32a,x33a,x34a,x35a,x36a,x37a,x38a,x39a,x40a,x41a,x42a,x43a,x44a,x45a,x46a,x47a,x48a,x49a,x50a,x51a,x52a,x53a,x54a,x55a,x56a,x57a,x58a,x59a,x60a,x61a,x62a,x63a,x64a,x65a,x66a,x67a,x68a,x69a,x70a,x71a,x72a,x73a,x74a,x75a,x76a,x77a,x78a,x79a,x80a,x81a,x82a,x83a,x84a,x85a,x86a,x87a,x88a,x89a,x90a,x91a,x92a,x93a,x94a,x95a,x96a,x97a,x98a,x99a,x100a,x101a,x102a,x103a,x104a,x105a,x106a,x107a,x108a,x109a,x110a,x111a,x112a,x113a,x114a,x115a,x116a,x117a,x118a,x119a,x120a,x121a,x122a,x123a,x124a,x125a,x126a,x127a,x128a,x129a,x130a,x131a,x132a,x133a,x134a,x135a,x136a,x137a,x138a,x139a,x140a,x141a,x142a,x143a,x144a,iso,language,wiki_code
tsp,11,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inflectional optative absent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tam,Tamil,ta
tsw,-24,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Full reduplication only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Morphological but no compound,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Different,Different,NA,NA,NA,NA,NA,NA,NA,Words derived from Min Nan Chinese te,NA,NA,NA,NA,NA,NA,tsn,Tswana,tn
ttb,55.3333333333,78.3333333333,NA,NA,NA,NA,NA,NA,NA,NA,No initial velar nasal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tat,Tatar,tt
ttd,-8.58333333333,125.583333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plural word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No possessive affixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SVO,SV,VO,NA,Prepositions,Genitive-Noun,Noun-Adjective,Noun-Demonstrative,Noun-Numeral,Noun-Relative clause,Adjective-Degree word,NA,NA,NA,VO and Prepositions,VO and NRel,VO and NAdj,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,tet,Tetum,tet
ttn,-9,126,Small,Average (5-6),Moderately low,In plosives alone,Missing /g/,None,No glottalized consonants,"/l/, no obstruent laterals",NA,NA,None,Complex,No tones,NA,NA,NA,NA,All present,None,NA,NA,NA,NA,NA,NA,Little affixation,NA,NA,NA,NA,NA,NA,Plural word,"All nouns, always optional",NA,NA,Definite word distinct from demonstrative,Indefinite word same as 'one',NA,NA,NA,NA,NA,NA,Binary politeness distinction,NA,NA,NA,NA,NA,No case affixes or adpositional clitics,NA,NA,Marked by reduplication,Optional,NA,No possessive affixes,NA,NA,NA,NA,NA,NA,Identity,NA,NA,NA,NA,No tense-aspect inflection,No second-person imperatives,Normal imperative + special negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,SVO,SV,VO,VOX,Prepositions,Genitive-Noun,Noun-Adjective,Noun-Demonstrative,Noun-Numeral,Noun-Relative clause,Adjective-Degree word,Final,Not initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and NAdj,NA,NA,NA,NA,NA,NA,NA,Mixed,NA,NA,NA,NA,NA,NA,Negative particle,NA,NA,Predicate negation also present,Question particle,NA,NA,NA,NA,NA,NA,NA,Subject is expressed overtly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NegV,SNegVO,tet,Tetum,tet
tul,12.75,75.3333333333,Average,Large (7-14),Average,In plosives alone,None missing in /p t k b d g/,None,No glottalized consonants,"/l/, no obstruent laterals",NA,NA,None,Complex,No tones,NA,NA,NA,NA,All present,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plural suffix,NA,NA,NA,No definite or indefinite article,No definite or indefinite article,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case suffixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOV,SV,OV,NA,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,NA,NA,NA,Not initial interrogative phrase,NA,OV and Postpositions,NA,OV and AdjN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative affix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V-Neg],MorphNeg,tcy,Tulu,tcy
tur,39,35,Average,Large (7-14),Average,In both plosives and fricatives,None missing in /p t k b d g/,None,No glottalized consonants,"/l/, no obstruent laterals",No velar nasal,Contrast absent,High and mid,Moderately complex,No tones,No fixed stress,Unbounded: Stress can be anywhere,Lexical stress,No rhythmic stress,All present,None,Exclusively concatenative,Monoexponential case,6-7 categories per word,Dependent marking,Double marking,Inconsistent or other,Strongly suffixing,Productive full and partial reduplication,No syncretism,Not syncretic,None,No gender,No gender,Plural suffix,"All nouns, always obligatory",Person stem + nominal plural affix,Associative same as additive plural,"No definite, but indefinite article",Indefinite word same as 'one',No inclusive/exclusive,No inclusive/exclusive,Two-way contrast,Different inflection,Related to remote demonstratives,No gender distinctions,Binary politeness distinction,Generic-noun-based,Identical,No person marking,6-7 cases,Symmetrical,Case suffixes,Identity,"First/one-th, two-th, three-th",Marked by suffix,Optional,Formally different,Possessive suffixes,Absent,No possessive classification,Highly differentiated,Without marking,Possessive-Accusative,'And' different from 'with',Identity,Grammatical marking,"Present, no remoteness distinctions",Inflectional future exists,No perfect,Tense-aspect suffixes,Second singular and second plural,Normal imperative + normal negative,Maximal system,Inflectional optative absent,Affixes on verbs,Affixes on verbs,Overlap for both possibility and necessity,Direct and indirect,Part of the tense system,Tense,None,SOV,SV,OV,XOV,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Relative clause-Noun,Degree word-Adjective,Final,Not initial interrogative phrase,Mixed,OV and Postpositions,OV and RelN,OV and AdjN,Nominative - accusative (standard),Nominative - accusative (standard),Accusative,Subject affixes on verb,Only the A argument,Zero in all 3sg forms,A and P do not or do not both occur on the verb,Indirect-object construction,Distinct from reflexive,Present,No antipassive,No applicative construction,Purposive but no sequential,Morphological but no compound,Negative affix,Both,A/Cat,Predicate negation also present,Question particle,Genitive,Nonverbal encoding,Identical,Impossible,Locational,Gap,Gap,Subject is left implicit,Deranked,Deranked,Balanced/deranked,Balanced/deranked,Different,Different,Decimal,NA,NA,NA,NA,"M-T pronouns, paradigmatic",No N-M pronouns,Words derived from Sinitic cha,NA,NA,NA,Logical meanings,[V-Neg],MorphNeg,tur,Turkish,tr
tvo,56,49.5,NA,NA,NA,NA,NA,NA,NA,NA,No initial velar nasal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly suffixing,NA,NA,NA,NA,NA,NA,Plural suffix,NA,NA,Unique affixal associative plural,No definite or indefinite article,No definite or indefinite article,NA,NA,NA,NA,NA,NA,NA,Interrogative-based,NA,NA,NA,NA,Case suffixes,NA,"One-th, two-th, three-th",Marked by suffix,Optional,"Formally similar, without interrogative",Possessive suffixes,NA,NA,Adjectives and relative clauses collapsed,Without marking,NA,NA,NA,NA,NA,NA,NA,Tense-aspect suffixes,Second singular and second plural,Normal imperative + normal negative,Maximal system,NA,Verbal constructions,Other,NA,NA,NA,NA,NA,SOV,SV,OV,NA,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Relative clause-Noun,Degree word-Adjective,NA,NA,Initial subordinator word,OV and Postpositions,OV and RelN,OV and AdjN,NA,NA,NA,Subject affixes on verb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Question particle,NA,Nonverbal encoding,Identical,Impossible,NA,NA,NA,NA,NA,NA,NA,NA,Identical,Different,NA,NA,NA,NA,NA,NA,NA,Words derived from Sinitic cha,NA,NA,NA,NA,NA,NA,tat,Tatar,tt
ukr,49,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly suffixing,NA,NA,NA,Three,Sex-based,Semantic and formal,Plural suffix,NA,NA,NA,No definite or indefinite article,No definite or indefinite article,NA,NA,NA,NA,NA,NA,NA,Interrogative-based,NA,NA,NA,NA,Case suffixes,NA,"First, second, three-th",Marked by preceding word,NA,NA,No possessive affixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tense-aspect suffixes,Second singular and second plural,Normal imperative + normal negative,Neither type of system,NA,NA,NA,NA,NA,NA,Tense and aspect,None,SVO,SV,VO,NA,Prepositions,NA,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Noun-Relative clause,NA,Initial,NA,Initial subordinator word,VO and Prepositions,VO and NRel,VO and AdjN,NA,NA,NA,Obligatory pronouns in subject position,NA,NA,NA,NA,NA,NA,No antipassive,No applicative construction,NA,NA,Negative particle,Symmetric,Non-assignable,NA,Question particle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Identical,Different,NA,NA,NA,NA,NA,NA,NA,Words derived from Sinitic cha,NA,NA,NA,NA,NegV,SNegVO,ukr,Ukrainian,uk
urd,25,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly suffixing,NA,NA,NA,NA,NA,NA,Plural suffix,NA,NA,NA,No definite or indefinite article,No definite or indefinite article,NA,NA,Two-way contrast,Identical,NA,NA,Multiple politeness distinctions,NA,NA,NA,2 cases,Additive-quantitatively asymmetrical,No case affixes or adpositional clitics,Differentiation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tense-aspect suffixes,NA,NA,NA,Inflectional optative absent,NA,NA,NA,NA,NA,NA,NA,SOV,SV,OV,NA,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Correlative,Degree word-Adjective,Initial,Not initial interrogative phrase,Initial subordinator word,OV and Postpositions,Other,OV and AdjN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Question particle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NegV,SONegV,urd,Urdu,ur
uyg,40,80,NA,NA,NA,NA,NA,NA,NA,NA,No initial velar nasal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly suffixing,Productive full and partial reduplication,NA,NA,NA,NA,NA,Plural suffix,NA,NA,Associative same as additive plural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case suffixes,NA,"One-th, two-th, three-th",Marked by suffix,NA,NA,Possessive suffixes,NA,NA,NA,NA,NA,NA,NA,Grammatical marking,"Present, 2-3 remoteness distinctions",No inflectional future,Other perfect,Tense-aspect suffixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOV,SV,OV,NA,NA,NA,Adjective-Noun,NA,NA,Relative clause-Noun,NA,NA,NA,NA,NA,OV and RelN,OV and AdjN,NA,NA,NA,Obligatory pronouns in subject position,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative affix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Words derived from Sinitic cha,NA,NA,NA,NA,[V-Neg],MorphNeg,uig,Uyghur,ug
vep,60,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"First, second, three-th",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vep,Vepsian,vep
vie,10.5,106.5,Average,Large (7-14),Low,In fricatives alone,Other,None,Implosives only,"/l/, no obstruent laterals",Initial velar nasal,Contrast absent,None,Moderately complex,Complex tone system,NA,NA,NA,NA,All present,None,Exclusively isolating,No case,0-1 category per word,No marking,No marking,Zero-marking,Little affixation,Productive full and partial reduplication,No case marking,No subject person/number marking,None,No gender,No gender,Plural word,"All nouns, always optional",Person stem + pronominal plural affix,No associative plural,Definite word distinct from demonstrative,NA,'We' the same as 'I',No person marking,Two-way contrast,NA,Related to remote demonstratives,No gender distinctions,Pronouns avoided for politeness,Interrogative-based,Identical,No person marking,No morphological case-marking,No case-marking,No case affixes or adpositional clitics,NA,Various,No distributive numerals,Obligatory,"Formally similar, with interrogative",No possessive affixes,Absent,No possessive classification,Adjectives and relative clauses collapsed,Marked by preceding word,Possessive-Accusative,'And' different from 'with',Identity,No grammatical marking,No past tense,No inflectional future,Other perfect,No tense-aspect inflection,No second-person imperatives,Normal imperative + special negative,Neither type of system,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for either possibility or necessity,No grammatical evidentials,No grammatical evidentials,None,None,SVO,SV,VO,VOX,Prepositions,Noun-Genitive,Noun-Adjective,Noun-Demonstrative,Numeral-Noun,Noun-Relative clause,NA,Final,Not initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and NAdj,Neutral,Neutral,Neutral,Optional pronouns in subject position,No person marking,No person marking,A and P do not or do not both occur on the verb,Double-object construction,Distinct from reflexive,Present,No antipassive,No applicative construction,Both,Compound but no morphological,"Negative word, unclear if verb or particle",Symmetric,Non-assignable,Predicate negation also present,Question particle,Topic,Verbal encoding,Different,Possible,Exceed,Gap,NA,Subject is left implicit,Balanced,Balanced,Balanced,Balanced,NA,NA,Decimal,NA,NA,NA,NA,No M-T pronouns,No N-M pronouns,Words derived from Sinitic cha,NA,NA,NA,NA,NegV,SNegVO,vie,Vietnamese,vi
wec,52.75,-3.5833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VSO,VS,VO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative particle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VNeg,VSNegO,cym,Welsh,cy
wel,52,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Penultimate,Fixed stress (no weight-sensitivity),No weight,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly suffixing,No productive reduplication,NA,NA,NA,NA,NA,Plural suffix,NA,NA,NA,Definite word distinct from demonstrative,"No indefinite, but definite article",NA,NA,Two-way contrast,Different stem,NA,3rd person singular only,Binary politeness distinction,NA,Identical,Pronouns only,No morphological case-marking,No case-marking,No case affixes or adpositional clitics,Mixed,"First, second, three-th",NA,NA,NA,NA,NA,NA,NA,NA,Ergative-Possessive,NA,NA,NA,NA,NA,NA,Tense-aspect suffixes,Second singular and second plural,Normal imperative + special negative,Neither type of system,NA,Verbal constructions,Other,Overlap for either possibility or necessity,NA,NA,NA,NA,VSO,VS,VO,VOX,Prepositions,Noun-Genitive,Noun-Adjective,Noun-Demonstrative,Numeral-Noun,Noun-Relative clause,No dominant order,Initial,Initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and NAdj,NA,NA,Accusative,NA,Only the A argument,No zero realization,A and P do not or do not both occur on the verb,NA,NA,Present,NA,NA,NA,NA,Negative particle,NA,NA,NA,Question particle,Locational,Nonverbal encoding,Different,Impossible,NA,NA,NA,NA,NA,NA,NA,NA,Different,Different,NA,NA,NA,NA,NA,NA,NA,Words derived from Min Nan Chinese te,NA,NA,NA,NA,NegV,NegVSO,cym,Welsh,cy
wlf,15.25,-16,Moderately large,Large (7-14),Average,In plosives alone,None missing in /p t k b d g/,None,No glottalized consonants,"/l/, no obstruent laterals",NA,Contrast absent,None,Complex,No tones,NA,NA,NA,NA,All present,None,NA,NA,NA,NA,NA,NA,Little affixation,Full reduplication only,NA,NA,NA,NA,NA,Mixed morphological plural,NA,Person-number stem,NA,Definite word distinct from demonstrative,Indefinite word distinct from 'one',NA,NA,NA,NA,NA,NA,NA,NA,Identical,NA,NA,NA,No case affixes or adpositional clitics,NA,"First, two-th, three-th",NA,NA,NA,Possessive suffixes,NA,NA,NA,NA,NA,'And' identical to 'with',Differentiation,No grammatical marking,"Present, no remoteness distinctions",No inflectional future,Other perfect,No tense-aspect inflection,Second singular and second plural,Normal imperative + special negative,Maximal system,NA,Verbal constructions,Verbal constructions,Overlap for either possibility or necessity,NA,NA,NA,NA,SVO,SV,VO,VOX,Prepositions,Noun-Genitive,Noun-Adjective,Noun-Demonstrative,Numeral-Noun,Noun-Relative clause,Adjective-Degree word,Initial,Initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and NAdj,NA,NA,NA,Subject pronouns in different position,NA,NA,NA,Double-object construction,NA,NA,NA,Benefactive and other; both bases,NA,NA,"Negative word, unclear if verb or particle",NA,NA,Predicate negation also present,Question particle,NA,Verbal encoding,Different,Impossible,Exceed,NA,NA,Subject is left implicit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Others,NA,NA,NA,NA,Type 1 / Type 4,More than one position,wol,Wolof,wo
wuc,31.6666666667,119.916666667,Average,Large (7-14),Average,In fricatives alone,Other,None,No glottalized consonants,"/l/, no obstruent laterals",NA,NA,High only,NA,Complex tone system,NA,NA,NA,NA,All present,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,wuu,Wu,wuu
wwy,12,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Productive full and partial reduplication,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,war,Waray,war
ykt,62,130,Average,Large (7-14),Moderately low,In both plosives and fricatives,None missing in /p t k b d g/,None,No glottalized consonants,"Laterals, but no /l/, no obstruent laterals",No initial velar nasal,NA,High and mid,Complex,No tones,NA,NA,NA,NA,All present,None,NA,NA,NA,NA,NA,NA,Strongly suffixing,NA,NA,NA,None,No gender,No gender,Plural suffix,NA,Person-number stem + pronominal plural affix,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Interrogative-based,NA,NA,NA,NA,Case suffixes,Differentiation,"First, two-th, three-th",Marked by suffix,NA,"Formally similar, without interrogative",Possessive suffixes,NA,NA,NA,NA,NA,'And' identical to 'with',NA,NA,NA,NA,NA,Tense-aspect suffixes,NA,NA,NA,Inflectional optative absent,NA,NA,NA,Direct and indirect,Part of the tense system,NA,NA,SOV,SV,OV,NA,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,NA,Relative clause-Noun,NA,NA,NA,NA,OV and Postpositions,OV and RelN,OV and AdjN,NA,NA,NA,NA,NA,NA,NA,NA,Distinct from reflexive,NA,NA,NA,NA,Morphological but no compound,Negative affix,NA,NA,Predicate negation also present,NA,Locational,Nonverbal encoding,Identical,Impossible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Decimal,NA,NA,NA,NA,NA,NA,Words derived from Sinitic cha,NA,NA,NA,NA,[V-Neg],MorphNeg,sah,Sakha,sah
yor,8,4.33333333333,Moderately small,Large (7-14),Moderately low,In plosives alone,Missing /p/,None,No glottalized consonants,"/l/, no obstruent laterals",No velar nasal,Contrast present,None,Simple,Complex tone system,NA,NA,NA,NA,All present,Labial-velars,Tonal/isolating,Monoexponential case,6-7 categories per word,Double marking,Head marking,Inconsistent or other,Little affixation,Productive full and partial reduplication,No syncretism,No subject person/number marking,None,No gender,No gender,Plural word,"All nouns, always optional",Person-number stem,Associative same as additive plural,No definite or indefinite article,No definite or indefinite article,No inclusive/exclusive,No person marking,Two-way contrast,Identical,Unrelated,No gender distinctions,Binary politeness distinction,Generic-noun-based,Differentiated,No person marking,No morphological case-marking,No case-marking,No case affixes or adpositional clitics,Differentiation,"One-th, two-th, three-th",Marked by reduplication,Absent,NA,No possessive affixes,Absent,No possessive classification,NA,NA,Restricted,'And' identical to 'with',Differentiation,No grammatical marking,No past tense,No inflectional future,"From 'finish', 'already'",No tense-aspect inflection,No second-person imperatives,NA,NA,Inflectional optative absent,Verbal constructions,Verbal constructions,Overlap for both possibility and necessity,No grammatical evidentials,No grammatical evidentials,None,None,SVO,SV,VO,NA,Prepositions,Noun-Genitive,Noun-Adjective,Noun-Demonstrative,Noun-Numeral,Noun-Relative clause,NA,No question particle,Initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,VO and NAdj,Neutral,Nominative - accusative (standard),Neutral,Optional pronouns in subject position,No person marking,No person marking,A and P do not or do not both occur on the verb,Secondary-object construction,Identical to reflexive,Absent,No antipassive,No applicative construction,Both,Neither,"Negative word, unclear if verb or particle",Both,A/Cat,NA,Interrogative intonation only,'Have',Verbal encoding,Different,Impossible,Exceed,Pronoun-retention,NA,Subject is left implicit,Balanced,Balanced,Balanced,Balanced,NA,NA,Pure vigesimal,NA,NA,NA,NA,No M-T pronouns,No N-M pronouns,Words derived from Min Nan Chinese te,NA,NA,NA,Affective meanings,NegV,SNegVO,yor,Yoruba,yo
